"index","HR","lower","upper","p","hr_ci"
"PNI",0.782238765989301,0.72675272368095,0.841961050957261,6.04894616012865e-11,"0.78 (0.73-0.84)"
"CONUT",0.775176730841483,0.730199345389787,0.822924544964257,6.80288656135791e-17,"0.78 (0.73-0.82)"
"GNRI",0.803484720514418,0.747657241531823,0.863480830838249,2.60206791062014e-09,"0.80 (0.75-0.86)"
