"lhs","op","rhs","label","est","se","z","pvalue","ci.lower","ci.upper","std.lv","std.all","std.nox","exposure","N","converged"
"cog_z_composite","~","E_DII_med","c",-0.0344373528812112,0.0130118198213444,-2.64662079202178,0.00813004637707349,-0.0599400511043707,-0.00893465465805176,-0.0344373528812112,-0.0441321666150285,-0.0460695681062572,"E-DII (pro-inflammatory)",2313,TRUE
"cog_z_composite","~","age","",-0.0350722476526424,0.00195371513686333,-17.9515667309363,0,-0.0389014589569452,-0.0312430363483395,-0.0350722476526424,-0.315701361700057,-0.0469189170098633,"E-DII (pro-inflammatory)",2313,TRUE
"cog_z_composite","~","sex_binary","",0.2661686054583,0.0262367344013661,10.1448831773988,0,0.214745550959679,0.31759165995692,0.2661686054583,0.178019266856202,0.35607477552663,"E-DII (pro-inflammatory)",2313,TRUE
"cog_z_composite","~","edu_binary","",0.382070985907502,0.0287645531164565,13.2827019547512,0,0.325693497767858,0.438448474047146,0.382070985907502,0.254973863973315,0.511126548181754,"E-DII (pro-inflammatory)",2313,TRUE
"cog_z_composite","~","income_pir","",0.0849092031495262,0.00928431131769884,9.14544980710226,0,0.0667122873455788,0.103106118953474,0.0849092031495262,0.181907423680874,0.113589750374784,"E-DII (pro-inflammatory)",2313,TRUE
"cog_z_composite","~","bmi","",0.00875442687252069,0.00225377315790905,3.88434250439057,0.000102607179213621,0.00433711265369585,0.0131717410913455,0.00875442687252069,0.075112628065745,0.0117114885811936,"E-DII (pro-inflammatory)",2313,TRUE
"cog_z_composite","~","comorb_count","",-0.0701309162182248,0.0141220733427874,-4.96604956764675,6.83304969051335e-07,-0.0978096713571212,-0.0424521610793284,-0.0701309162182248,-0.0984254473690673,-0.0938196682019797,"E-DII (pro-inflammatory)",2313,TRUE
"phq9_total","~","E_DII_med","a",-0.131565655155824,0.0862528321131547,-1.52534881385951,0.127172118494181,-0.300618099662187,0.0374867893505387,-0.131565655155824,-0.0295072508964882,-0.030802618794185,"E-DII (pro-inflammatory)",2313,TRUE
"phq9_total","~","age","",-0.0553797268578661,0.0126450388117288,-4.3795616353901,1.18918284204295e-05,-0.0801635475119657,-0.0305959062037666,-0.0553797268578661,-0.0872417550745989,-0.0129656984819372,"E-DII (pro-inflammatory)",2313,TRUE
"phq9_total","~","sex_binary","",0.853166614947395,0.169736949377899,5.02640478737438,4.99760432148832e-07,0.520488307321015,1.18584492257378,0.853166614947395,0.099863034861954,0.199746400206228,"E-DII (pro-inflammatory)",2313,TRUE
"phq9_total","~","edu_binary","",-0.409613122904915,0.189235563733738,-2.16456735099358,0.0304208335671523,-0.780508012417176,-0.0387182333926546,-0.409613122904915,-0.0478394520593238,-0.0959000801766404,"E-DII (pro-inflammatory)",2313,TRUE
"phq9_total","~","income_pir","",-0.430489555607971,0.057001832771914,-7.55220551118986,4.2854608750531e-14,-0.542211094893698,-0.318768016322245,-0.430489555607971,-0.161405751264125,-0.100787744799851,"E-DII (pro-inflammatory)",2313,TRUE
"phq9_total","~","bmi","",0.0258856246692237,0.0155355482996305,1.66621893028644,0.0956698168556134,-0.00456349047813459,0.056334739816582,0.0258856246692237,0.0388691117785193,0.00606043444994127,"E-DII (pro-inflammatory)",2313,TRUE
"phq9_total","~","comorb_count","",0.769972144549884,0.101314786401114,7.59980030458239,2.97539770599542e-14,0.571398812102333,0.968545476997436,0.769972144549884,0.189118331248034,0.180268615107955,"E-DII (pro-inflammatory)",2313,TRUE
"cog_z_composite","~","phq9_total","b",-0.0167258554347813,0.00338210263747203,-4.94540149357596,7.59870880440161e-07,-0.0233546547962444,-0.0100970560733182,-0.0167258554347813,-0.0955713257031516,-0.0955713257031516,"E-DII (pro-inflammatory)",2313,TRUE
"cog_z_composite","~~","cog_z_composite","",0.38135849746068,0.0113207126720969,33.6867923872537,0,0.359170308344044,0.403546686577316,0.38135849746068,0.682499264624613,0.682499264624613,"E-DII (pro-inflammatory)",2313,TRUE
"phq9_total","~~","phq9_total","",16.2249073445823,0.850293486272273,19.0815378531394,0,14.5583627351996,17.8914519539649,16.2249073445823,0.889349452903365,0.889349452903365,"E-DII (pro-inflammatory)",2313,TRUE
"E_DII_med","~~","E_DII_med","",0.917660876847776,0,NA,NA,0.917660876847776,0.917660876847776,0.917660876847776,1,0.917660876847776,"E-DII (pro-inflammatory)",2313,TRUE
"E_DII_med","~~","age","",-0.117117683578726,0,NA,NA,-0.117117683578726,-0.117117683578726,-0.117117683578726,-0.0181699147536165,-0.117117683578726,"E-DII (pro-inflammatory)",2313,TRUE
"E_DII_med","~~","sex_binary","",0.0529684682330278,0,NA,NA,0.0529684682330278,0.0529684682330278,0.0529684682330278,0.110598823391896,0.0529684682330278,"E-DII (pro-inflammatory)",2313,TRUE
"E_DII_med","~~","edu_binary","",-0.0584551483997302,0,NA,NA,-0.0584551483997302,-0.0584551483997302,-0.0584551483997302,-0.12232477698363,-0.0584551483997302,"E-DII (pro-inflammatory)",2313,TRUE
"E_DII_med","~~","income_pir","",-0.146054751646078,0,NA,NA,-0.146054751646078,-0.146054751646078,-0.146054751646078,-0.0952057775647035,-0.146054751646078,"E-DII (pro-inflammatory)",2313,TRUE
