"analysis","N","beta","se","lower","upper","p_value"
"Primary analysis",2313,0.0401770915896062,0.0172695123916707,0.00336799725034072,0.0769861859288716,0.0344145607902718
"Excluding stroke history",2155,0.0407481878826058,0.0184895655696497,0.00133861175157827,0.0801577640136333,0.0435743339584034
"Excluding cancer history",1854,0.0423564009967476,0.0185199145692575,0.00288213750429776,0.0818306644891974,0.0371400264402811
"Excluding depression",2106,0.0420462738364819,0.0172916631626086,0.00518996624656711,0.0789025814263967,0.0280361904177619
"Excluding hypoalbuminemia",2313,0.0401770915896062,0.0172695123916707,0.00336799725034072,0.0769861859288716,0.0344145607902718
"Restricted to age ≥ 65",1578,0.0379091997587676,0.0192779455992674,-0.00318076862811693,0.0789991681456521,0.0680313085103215
"Restricted to age 60-75",1762,0.0387751750303517,0.0210188414175653,-0.00602542495731077,0.0835757750180142,0.0849064057353404
