"subgroup_var","p_interaction"
"Sex",0.604732251920256
"Age Group",0.159984691203712
"Education",0.325571535149372
"Income",0.272397201309636
"Food Security",0.6519479317313
"Depression",0.955657173240016
"CVD",0.576985460166488
"Diabetes",0.451380640025558
