"exposure","model","beta","se","lower","upper","p_value","N","R2"
"E_DII_scaled","PHQ-9 (continuous)",0.217835611104348,0.113722577079054,-0.024558324130687,0.460229546339383,0.0746915569814946,2307,0.114053621157044
"E_DII_scaled","PHQ-9 ≥ 10 (logistic)",0.139920461590063,0.115974734389836,-0.107273833321569,0.387114756501695,0.246319100124757,2307,NA
"PNI_scaled","PHQ-9 (continuous)",-0.193592722460045,0.0918674937840053,-0.389403650337678,0.00221820541758866,0.0523307536396892,2307,0.112545317434289
"PNI_scaled","PHQ-9 ≥ 10 (logistic)",-0.134093122270335,0.0959759708004572,-0.338661061617628,0.0704748170769576,0.182694041857904,2307,NA
"CONUT_scaled","PHQ-9 (continuous)",0.0738191553161893,0.0907053728334812,-0.119514770389564,0.267153081021943,0.428470506457975,2307,0.110924404712778
"CONUT_scaled","PHQ-9 ≥ 10 (logistic)",0.0609726834251318,0.118104404540867,-0.190760895962107,0.312706262812371,0.613198655465493,2307,NA
"GNRI_scaled","PHQ-9 (continuous)",-0.196906763964425,0.0930720925492302,-0.395285233332779,0.00147170540392946,0.0515152790987717,2307,0.112756679585304
"GNRI_scaled","PHQ-9 ≥ 10 (logistic)",-0.131670768270066,0.096960935609914,-0.338338110412868,0.0749965738727361,0.194547950616177,2307,NA
