"Index","Period","HR","Lower","Upper","P","HR_CI"
"PNI","0-2 yr",0.340266683083588,0.211920820443991,0.546342805648522,8.11512479563261e-06,"0.340 (0.212-0.546)"
"PNI","vs: period2",3.86040921226483,1.73763922889581,8.57644040161847,0.000911179681571648,"3.860 (1.738-8.576)"
"PNI","vs: period3",2.37643584860466,1.36914889478199,4.12478683951505,0.0020928356151858,"2.376 (1.369-4.125)"
"CONUT","0-2 yr",0.670851021561702,0.484829533215188,0.928246037624593,0.0159812471700328,"0.671 (0.485-0.928)"
"CONUT","vs: period2",1.17233952562769,0.754594526245297,1.82134897027092,0.479355447086912,"1.172 (0.755-1.821)"
"CONUT","vs: period3",1.03191000242619,0.697799876455144,1.52599375413572,0.874959765373131,"1.032 (0.698-1.526)"
"GNRI","0-2 yr",0.535627176965525,0.300227903498572,0.955595630388906,0.034537181358009,"0.536 (0.300-0.956)"
"GNRI","vs: period2",1.22781902968077,0.628270409697801,2.39950751519772,0.548260094430405,"1.228 (0.628-2.400)"
"GNRI","vs: period3",1.36891944351914,0.745963540044096,2.51210728440423,0.310683709181299,"1.369 (0.746-2.512)"
