"Index","Landmark","N","Events","HR","Lower","Upper","P","HR_CI"
"PNI","1-yr",298,154,0.902938438035491,0.726355991767451,1.12244936659516,0.357791113871007,"0.903 (0.726-1.122)"
"CONUT","1-yr",298,154,0.746718468051802,0.628923640749446,0.88657578504314,0.00085489882750363,"0.747 (0.629-0.887)"
"GNRI","1-yr",298,154,0.704243702617118,0.585935560527263,0.846439823910961,0.000186491825950532,"0.704 (0.586-0.846)"
"PNI","3-yr",263,119,0.837687757824174,0.648917107573814,1.0813719832909,0.173996139003166,"0.838 (0.649-1.081)"
"CONUT","3-yr",263,119,0.714710449207127,0.579805603790521,0.881003948334388,0.00164943140305154,"0.715 (0.580-0.881)"
"GNRI","3-yr",263,119,0.704431369912181,0.572362470789959,0.866974304292659,0.000941268989812278,"0.704 (0.572-0.867)"
"PNI","5-yr",206,90,0.799472943403938,0.594787371973597,1.07459743994586,0.138029783205925,"0.799 (0.595-1.075)"
"CONUT","5-yr",206,90,0.73952813430271,0.573423847166313,0.953748024481141,0.0200813969028448,"0.740 (0.573-0.954)"
"GNRI","5-yr",206,90,0.711400603626191,0.562121643077927,0.900322599337363,0.00460000728797928,"0.711 (0.562-0.900)"
