"Index","HR","Lower","Upper","P","HR_CI"
"alb",0.689204820146536,0.581084499181015,0.817442703742214,1.90958451106812e-05,"0.689 (0.581-0.817)"
"lym",1.06061434719228,0.878944301645758,1.27983399103197,0.539282196993847,"1.061 (0.879-1.280)"
"PNI",0.778854615487504,0.631009118131764,0.96134032716072,0.0199621010582278,"0.779 (0.631-0.961)"
