"Index","Period","HR","Lower","Upper","P","HR_CI"
"PNI","0-2 yr (main)",0.289550150666983,0.176675458242181,0.474538402704174,8.77309619795864e-07,"0.290 (0.177-0.475)"
"PNI","Interaction: period2",4.86605852713565,2.03302213044298,11.6469590935295,0.000380365641699938,"4.866 (2.033-11.647)"
"PNI","Interaction: period3",2.73478741378351,1.49998896179219,4.98607815730369,0.00102664689970311,"2.735 (1.500-4.986)"
"CONUT","0-2 yr (main)",0.652509315298024,0.446572492769097,0.953413865485983,0.0273471424400373,"0.653 (0.447-0.953)"
"CONUT","Interaction: period2",1.21040366591982,0.711326247298338,2.05964146555339,0.481395435820767,"1.210 (0.711-2.060)"
"CONUT","Interaction: period3",1.02263378159396,0.649513098705398,1.61009816944664,0.923011255138537,"1.023 (0.650-1.610)"
"GNRI","0-2 yr (main)",0.3998309429599,0.240176619252084,0.665613428342966,0.000423017802852398,"0.400 (0.240-0.666)"
"GNRI","Interaction: period2",1.8559273210632,0.989654938077285,3.48047191858687,0.0539111587526984,"1.856 (0.990-3.480)"
"GNRI","Interaction: period3",1.80737072252131,1.04497610773332,3.12599389062859,0.0342304352419624,"1.807 (1.045-3.126)"
