"Nutrition","Adjustment","HR","Lower","Upper","P","N","Events","HR_CI"
"PNI","Crude",0.696751191157708,0.569053681603666,0.853104440009227,0.000468717596165698,199,99,"0.697 (0.569-0.853)"
"PNI","Adjusted",0.655278946380269,0.524794121827933,0.81820752121538,0.000190794896057208,199,99,"0.655 (0.525-0.818)"
"CONUT","Crude",0.697230617467017,0.577595398658852,0.841645440843553,0.000173383523159009,199,99,"0.697 (0.578-0.842)"
"CONUT","Adjusted",0.758705709738084,0.627945441020421,0.916694853383688,0.00422037347821683,199,99,"0.759 (0.628-0.917)"
"GNRI","Crude",0.654301938143766,0.53617985281861,0.79844668539517,2.96998070410049e-05,199,99,"0.654 (0.536-0.798)"
"GNRI","Adjusted",0.637571962627199,0.513971214211709,0.790896447677044,4.24844528044487e-05,199,99,"0.638 (0.514-0.791)"
