"Index","Method","N","Events","HR","Lower","Upper","P","HR_CI"
"PNI","Survey-weighted Cox",270,134,0.868663733898004,0.611323131121206,1.23433360227296,0.432174998429996,"0.869 (0.611-1.234)"
"CONUT","Survey-weighted Cox",270,134,0.75698416137581,0.630341656578009,0.909070524839925,0.00287735227813699,"0.757 (0.630-0.909)"
"GNRI","Survey-weighted Cox",270,134,0.800164646148522,0.61206562287662,1.04606995886625,0.102986532226032,"0.800 (0.612-1.046)"
