"term","estimate","std.error","statistic","p.value","conf.low","conf.high","HR","HR_CI"
"PNI_s",-0.178986360729423,0.141150315729475,-1.26805497957556,0.204778317333831,-0.455635895965651,0.0976631745068051,0.836117303349399,"0.836 (0.634-1.103)"
"crp_s",0.164450926035366,0.124458311296506,1.32133341937753,0.186390215512511,-0.079482881682461,0.408384733753193,1.17874572240633,"1.179 (0.924-1.504)"
"age",0.0578477650093265,0.0110391693376898,5.24022806786949,1.60378260751124e-07,0.0362113906882156,0.0794841393304374,1.05955368228688,"1.060 (1.037-1.083)"
"sex_b",0.0699937707061456,0.369563134909123,0.189395976206765,0.849782477920702,-0.654336663729452,0.794324205141743,1.0725015003064,"1.073 (0.520-2.213)"
"race_eth_b",0.328612785170391,0.227252623559533,1.44602416475208,0.14817042418052,-0.116794172398531,0.774019742739314,1.38903989459499,"1.389 (0.890-2.168)"
"PNI_s:crp_s",-0.0232924299407526,0.0834674233531072,-0.279060129150201,0.780198680415323,-0.1868855735952,0.140300713713695,0.976976744744407,"0.977 (0.830-1.151)"
