"Nutrition","Adjustment","HR","Lower","Upper","P","N","Events","HR_CI"
"PNI","Crude",0.883013831742771,0.759988935819005,1.02595365577104,0.104109083684085,258,156,"0.883 (0.760-1.026)"
"PNI","Adjusted",0.649889240491442,0.524939320724422,0.804580659577352,7.62588344893595e-05,258,156,"0.650 (0.525-0.805)"
"CONUT","Crude",0.686801671647938,0.57977202387484,0.813589681381781,1.38199321496473e-05,258,156,"0.687 (0.580-0.814)"
"CONUT","Adjusted",0.736875458676558,0.619744559155927,0.87614394281947,0.000546203118679688,258,156,"0.737 (0.620-0.876)"
"GNRI","Crude",0.877483113515495,0.755937018475863,1.0185724414678,0.085785200692032,258,156,"0.877 (0.756-1.019)"
"GNRI","Adjusted",0.644668776700026,0.521419149014079,0.797051340438374,5.00727662132058e-05,258,156,"0.645 (0.521-0.797)"
