"Nutrition","Adjustment","N","Events","HR","Lower","Upper","P","HR_CI"
"PNI","Crude",62,43,0.727490219350307,0.430322366441945,1.22987337057638,0.23498841527434,"0.727 (0.430-1.230)"
"PNI","Adjusted",62,43,0.799163068287418,0.462152234478993,1.38192907459283,0.422370291197223,"0.799 (0.462-1.382)"
"CONUT","Crude",62,43,0.661054912040074,0.469765007347392,0.930238714883998,0.0175552389588502,"0.661 (0.470-0.930)"
"CONUT","Adjusted",62,43,0.639604961613491,0.456669487476789,0.895821853964762,0.0093223241876698,"0.640 (0.457-0.896)"
"GNRI","Crude",62,43,0.375997939159177,0.253998162208236,0.556596351024165,1.02088997729027e-06,"0.376 (0.254-0.557)"
"GNRI","Adjusted",62,43,0.335594099962066,0.210334899871948,0.535447992691248,4.63977454016679e-06,"0.336 (0.210-0.535)"
