"Index","Model","N","Events","HR","Lower","Upper","P","HR_CI"
"PNI","Basic (age+sex+race)",313,169,0.778854615487504,0.631009118131764,0.96134032716072,0.0199621010582278,"0.779 (0.631-0.961)"
"PNI","+ Education + PIR",313,169,0.763363764725924,0.617971285547836,0.942963291214973,0.0122545645769129,"0.763 (0.618-0.943)"
"PNI","+ Education + PIR + PA",263,130,0.781207067667959,0.602844706709809,1.01234111501976,0.0618723045358383,"0.781 (0.603-1.012)"
"CONUT","Basic (age+sex+race)",313,169,0.714403026690815,0.612879975638761,0.832743285523523,1.70518977567091e-05,"0.714 (0.613-0.833)"
"CONUT","+ Education + PIR",313,169,0.714567977138615,0.611167782594939,0.835461895232763,2.50723370011568e-05,"0.715 (0.611-0.835)"
"CONUT","+ Education + PIR + PA",263,130,0.730194467035231,0.611658300286197,0.871702320461256,0.000502867737921293,"0.730 (0.612-0.872)"
"GNRI","Basic (age+sex+race)",313,169,0.672666752972046,0.563442389723751,0.803064463743668,1.15445733215251e-05,"0.673 (0.563-0.803)"
"GNRI","+ Education + PIR",313,169,0.667479842373594,0.558147602481182,0.798228529504612,9.46150569187423e-06,"0.667 (0.558-0.798)"
"GNRI","+ Education + PIR + PA",263,130,0.671729614216957,0.550329373802363,0.819910213947813,9.14312730141516e-05,"0.672 (0.550-0.820)"
