"Index","Landmark","N","Events","HR","Lower","Upper","P","HR_CI"
"PNI","1-yr",223,129,0.896004397411496,0.69594772785649,1.15356922373096,0.394328173545949,"0.896 (0.696-1.154)"
"CONUT","1-yr",223,129,0.737486968762509,0.605640446411085,0.898036173636502,0.00244439363815342,"0.737 (0.606-0.898)"
"GNRI","1-yr",223,129,0.70223575645764,0.577649164902223,0.85369301577906,0.000389023166221383,"0.702 (0.578-0.854)"
"PNI","3-yr",193,99,0.807181894790514,0.597938134680252,1.08964886748027,0.161762885102556,"0.807 (0.598-1.090)"
"CONUT","3-yr",193,99,0.701161932631731,0.550051554587299,0.89378541278868,0.00414806656958356,"0.701 (0.550-0.894)"
"GNRI","3-yr",193,99,0.722746134020276,0.581043729877856,0.899006300870096,0.00354392414447591,"0.723 (0.581-0.899)"
"PNI","5-yr",148,75,0.767897759406723,0.543038500075695,1.08586586184897,0.13518452674686,"0.768 (0.543-1.086)"
"CONUT","5-yr",148,75,0.701398669723492,0.524496636094709,0.937966156566638,0.0167642233071864,"0.701 (0.524-0.938)"
"GNRI","5-yr",148,75,0.703265454965154,0.547756331508977,0.902923931129839,0.00576504033211536,"0.703 (0.548-0.903)"
