"Index","Cause","HR","Lower","Upper","P","HR_CI"
"PNI","GI cancer death",1.06796757809336,0.78486365349906,1.4531883885485,0.675621949945889,"1.068 (0.785-1.453)"
"CONUT","GI cancer death",0.728213017230231,0.562533427672338,0.942689220546089,0.0160372919568579,"0.728 (0.563-0.943)"
"GNRI","GI cancer death",0.691532573522273,0.511708993391938,0.934549336474243,0.0163723357258007,"0.692 (0.512-0.935)"
"PNI","Other death",0.636412311143975,0.485169014253263,0.834803167302418,0.00109793385462186,"0.636 (0.485-0.835)"
"CONUT","Other death",0.706470237771811,0.583367500895014,0.855550225358165,0.000375110771073794,"0.706 (0.583-0.856)"
"GNRI","Other death",0.66141926765855,0.530738289941986,0.824277154900189,0.00023262148791281,"0.661 (0.531-0.824)"
