"Index","Adj","HR","Lower","Upper","P","HR_CI"
"PNI","Crude",0.731828722382151,0.584815327237321,0.915798977830404,0.0063579413155247,"0.732 (0.585-0.916)"
"PNI","Adjusted",0.755637194896007,0.593580092482057,0.961938544675107,0.0229035574260299,"0.756 (0.594-0.962)"
"CONUT","Crude",0.671956546547721,0.566854661056257,0.796545625305404,4.62487684509493e-06,"0.672 (0.567-0.797)"
"CONUT","Adjusted",0.699131081441798,0.587000686940412,0.832680914882124,5.99768055601114e-05,"0.699 (0.587-0.833)"
"GNRI","Crude",0.688893320382815,0.580266537518792,0.817855203054321,2.07614755288598e-05,"0.689 (0.580-0.818)"
"GNRI","Adjusted",0.656717960470674,0.544790746244307,0.791640611698932,1.03000995079676e-05,"0.657 (0.545-0.792)"
