"Index","Risk","sHR","Lower","Upper","P","HR_CI"
"PNI","GI cancer death",1.15673557699086,0.765076361930218,1.74889365513871,0.489971436279022,"1.157 (0.765-1.749)"
"PNI","Non-cancer death",0.810714285300411,0.657438414117698,0.999725051466937,0.0496959418116063,"0.811 (0.657-1.000)"
"CONUT","GI cancer death",0.820640477293743,0.590490820108331,1.14049324737911,0.239139320737976,"0.821 (0.590-1.140)"
"CONUT","Non-cancer death",0.874393430868045,0.736977948693487,1.03743113793378,0.123869834683602,"0.874 (0.737-1.037)"
"GNRI","GI cancer death",0.78749672532454,0.581171490888147,1.06707073922218,0.123268774088931,"0.787 (0.581-1.067)"
"GNRI","Non-cancer death",0.798147120942017,0.643986106829822,0.989212065154651,0.0394887628486312,"0.798 (0.644-0.989)"
