"Index","Period","HR","Lower","Upper","P","HR_CI"
"PNI","0-2 yr (main)",0.340266683083588,0.21192082044399,0.546342805648526,8.11512479563548e-06,"0.340 (0.212-0.546)"
"PNI","Interaction: period2",3.86040921226483,1.7376392288958,8.57644040161853,0.000911179681571743,"3.860 (1.738-8.576)"
"PNI","Interaction: period3",2.37643584860466,1.36914889478198,4.12478683951509,0.00209283561518608,"2.376 (1.369-4.125)"
"CONUT","0-2 yr (main)",0.670851021561702,0.484829533215188,0.928246037624594,0.0159812471700332,"0.671 (0.485-0.928)"
"CONUT","Interaction: period2",1.17233952562769,0.754594526245297,1.82134897027092,0.479355447086914,"1.172 (0.755-1.821)"
"CONUT","Interaction: period3",1.03191000242619,0.697799876455143,1.52599375413572,0.874959765373133,"1.032 (0.698-1.526)"
"GNRI","0-2 yr (main)",0.535627176965525,0.300227903498574,0.9555956303889,0.0345371813580068,"0.536 (0.300-0.956)"
"GNRI","Interaction: period2",1.22781902968077,0.628270409697806,2.39950751519771,0.5482600944304,"1.228 (0.628-2.400)"
"GNRI","Interaction: period3",1.36891944351914,0.745963540044102,2.51210728440421,0.310683709181293,"1.369 (0.746-2.512)"
