"Index","Cohort","N","Events","HR","Lower","Upper","P","HR_CI"
"PNI","NHANES_III",88,68,0.690225488146249,0.511904443802374,0.930664365692929,0.0150498626963395,"0.690 (0.512-0.931)"
"PNI","Continuous_NHANES",225,101,0.745049076502062,0.556980170366004,0.99662098568394,0.0473934243699318,"0.745 (0.557-0.997)"
"CONUT","NHANES_III",88,68,0.694357719315255,0.528162318779013,0.912849374577231,0.00896954835934073,"0.694 (0.528-0.913)"
"CONUT","Continuous_NHANES",225,101,0.667578322919585,0.55493547684999,0.803085828575699,1.82162995118852e-05,"0.668 (0.555-0.803)"
"GNRI","NHANES_III",88,68,0.703269092197351,0.523271156406152,0.945183792351431,0.0196108237616187,"0.703 (0.523-0.945)"
"GNRI","Continuous_NHANES",225,101,0.677992981376804,0.541924084631503,0.848226708928754,0.000673412851489405,"0.678 (0.542-0.848)"
