"Index","Cause","HR","Lower","Upper","P","HR_CI"
"PNI","GI cancer death",1.11246385235337,0.793815887138755,1.55902123256015,0.53594205232902,"1.112 (0.794-1.559)"
"CONUT","GI cancer death",0.721392067212033,0.533091122247698,0.976205554581803,0.0343446212771029,"0.721 (0.533-0.976)"
"GNRI","GI cancer death",0.670548430691137,0.482293047525181,0.932286294006487,0.017455266287525,"0.671 (0.482-0.932)"
"PNI","Other death",0.595778244784534,0.436777627562614,0.8126600232235,0.00107686623734187,"0.596 (0.437-0.813)"
"CONUT","Other death",0.691014938261854,0.557106361370764,0.85711037965199,0.000771227982215664,"0.691 (0.557-0.857)"
"GNRI","Other death",0.653281219486044,0.520318483292464,0.82022139408276,0.000245567973696882,"0.653 (0.520-0.820)"
