"Index","Adj","HR","Lower","Upper","P","HR_CI"
"PNI","Crude",0.630280821260606,0.512713436710065,0.774806910070485,1.1748346949365e-05,"0.630 (0.513-0.775)"
"PNI","Adjusted",0.778854615487504,0.631009118131764,0.96134032716072,0.019962101058228,"0.779 (0.631-0.961)"
"CONUT","Crude",0.62913514459607,0.544538377800095,0.72687444320265,3.18301263992752e-10,"0.629 (0.545-0.727)"
"CONUT","Adjusted",0.714403026690815,0.612879975638761,0.832743285523523,1.70518977567092e-05,"0.714 (0.613-0.833)"
"GNRI","Crude",0.664628197031826,0.559124566239723,0.790039763876848,3.61821100592281e-06,"0.665 (0.559-0.790)"
"GNRI","Adjusted",0.672666752972046,0.563442389723751,0.803064463743668,1.15445733215251e-05,"0.673 (0.563-0.803)"
