"Index","Model","HR","Lower","Upper","P","HR_CI"
"PNI","Separate",0.757900253145884,0.510655847450683,1.12485306216741,0.168831722286318,"0.758 (0.511-1.125)"
"HEI","Separate",1.04893491898839,0.725972546629646,1.51557310173944,0.799157230761191,"1.049 (0.726-1.516)"
"PNI","Mutually Adjusted",0.737677323080336,0.49522947315502,1.09881956241452,0.134534214950346,"0.738 (0.495-1.099)"
"HEI","Mutually Adjusted",1.12549862230294,0.769546180487258,1.64609633693945,0.542194792783303,"1.125 (0.770-1.646)"
