"Index","Method","N","Events","HR","CI","P"
"PNI","Unweighted",2942,1135,"0.78","0.73-0.84","0.000"
"PNI","Survey-Weighted",2669,918,"0.74","0.64-0.86","0.000"
"CONUT","Unweighted",2942,1135,"0.78","0.73-0.82","0.000"
"CONUT","Survey-Weighted",2669,918,"0.79","0.72-0.86","0.000"
"GNRI","Unweighted",2942,1135,"0.80","0.75-0.86","0.000"
"GNRI","Survey-Weighted",2669,918,"0.86","0.77-0.97","0.012"
